CodMun,MGRD01,MGRD02,MGRD031,MGRD032,MGRD033,MGRD034,MGRD035,MGRD036,MGRD037,MGRD038,MGRD039,MGRD041,MGRD042,MGRD043,MGRD044,MGRD045,MGRD046,MGRD047,MGRD048,MGRD049,MGRD0410,MGRD05,MGRD06,MGRD07,MGRD08,MGRD09,MGRD101,MGRD1011,MGRD102,MGRD1021,MGRD103,MGRD1031,MGRD1041,MGRD1042,MGRD1043,MGRD1044,MGRD1045,MGRD1046,MGRD1047,MGRD1051,MGRD1052,MGRD1053,MGRD1054,MGRD1055,MGRD1056,MGRD1057,MGRD1058,MGRD1059,MGRD10510,MGRD10511,MGRD10512,MGRD11,MGRD12,MGRD131,MGRD1311,MGRD132,MGRD1321,MGRD133,MGRD1331,MGRD1341,MGRD1342,MGRD1343,MGRD1344,MGRD1345,MGRD1346,MGRD1347,MGRD1351,MGRD1352,MGRD1353,MGRD1354,MGRD1355,MGRD1356,MGRD1357,MGRD1358,MGRD1359,MGRD13510,MGRD13511,MGRD13512,MGRD14,MGRD15,MGRD161,MGRD1611,MGRD162,MGRD1621,MGRD163,MGRD1631,MGRD1641,MGRD1642,MGRD1643,MGRD1644,MGRD1645,MGRD1646,MGRD1647,MGRD1648,MGRD1651,MGRD1652,MGRD1653,MGRD1654,MGRD1655,MGRD1656,MGRD1657,MGRD1658,MGRD1659,MGRD171,MGRD172,MGRD173,MGRD174,MGRD175,MGRD176,MGRD177,MGRD178,MGRD179,MGRD181,MGRD182,MGRD183,MGRD184,MGRD185,MGRD186,MGRD187,MGRD188,MGRD191,MGRD192,MGRD193,MGRD194,MGRD195,MGRD196,MGRD197,MGRD198,MGRD201,MGRD202,MGRD203,MGRD204,MGRD205
1100114,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,2016,Sim,Urbana,Sim,Urbana,Não,-,Sim,Não,Sim,Sim,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,-,-,Sim,2016,Sim,Urbana,Sim,Urbana,Não,-,Sim,Não,Sim,Sim,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,-,-,Sim,2016,Sim,Urbana,Sim,Urbana,Não,-,Não,Não,Sim,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,Sim,Não,Não,Não,Não,Não,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,-,Não,Não,Sim,Não,Não,Sim,Não,-,Sim,Sim,Sim,-,-
1100122,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Sim,Sim,2014,Sim,Urbana,Sim,Urbana,Não,-,Sim,Não,Sim,Sim,Não,Não,-,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,-,-,Sim,2015,Sim,Urbana,Sim,Urbana,Não,-,Sim,Sim,Sim,Sim,Não,Não,-,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Não,Não,Não,Não,-,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,-,-
1100130,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Sim,Não,Não,-,-
1100148,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Sim,Sim,2016,Não,-,Não,-,Não,-,Sim,Não,Não,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Não,Sim,Não,Não,Sim,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100155,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,Sim
1100189,Sim,2013,Sim,Não,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,-,Não,Sim,Não,Sim,2014,Sim,Urbana,Sim,Urbana,Não,-,Sim,Sim,Não,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,Sim,2014,Sim,Urbana,Sim,Urbana,Não,-,Sim,Sim,Não,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,Sim,2014,Não sabe,-,Não sabe,-,Não sabe,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,-,Sim,Sim,Não,Não,Não,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,-,-
1100205,Sim,2013,Sim,Não,Sim,Não,Sim,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Sim,Não,Não,-,Sim,Sim,Sim,Sim,2014,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Sim,Sim,Sim,Sim,Não,Não,-,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,2013,Sim,Urbana,Sim,Urbana,Não,-,Sim,Sim,Não,Não,Não,Sim,Não,-,Sim,Não,Sim,Não,Sim,Não,Não,-,-,Não,Sim,Não,Não,Não,Não,Sim,Não,-,Sim,Sim,Sim,Sim,Não,Sim,Sim,-,Sim,Sim,Sim,Sim,Não,Não,Não,-,Sim,Sim,Não,-,-
1100254,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100262,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100288,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,2013,Sim,Urbana,Sim,Urbana,Sim,Urbana,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,-,-
1100296,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não sabe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100304,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Sim,Não,Sim,Não,-,Não,Não,Sim,Não,Não,Não,Sim,-,Não,Não,Sim,Não,Não,Não,Sim,-,Sim,Não,Não,-,-
1100320,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100338,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Sim,2014,Sim,Rural,Sim,Rural,Não,-,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,2014,Sim,Rural,Sim,Rural,Não,-,Sim,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não,-,-
1100346,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100379,Sim,2016,Sim,Não,Não,Sim,Sim,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,-,Não,Não sabe,Não,Não sabe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100403,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100452,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não sabe,Sim,Não,Sim,2015,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Não,Não,Não,Sim,Não,Não,-,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-,Sim,2015,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Não,Não,Não,Sim,Não,Não,-,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Sim,Não,Sim,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,-,-
1100502,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100601,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Sim,2014,Não,-,Não,-,Não,-,Sim,Não,Não,Não,Não,Não,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100700,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Sim,2013,Sim,Urbana e rural,Não,-,Não,-,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100809,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não sabe,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,-,-
1100908,Sim,2016,Sim,Não,Não,Não,Sim,Não,Não,Não,-,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,2015,Sim,Rural,Não,-,Não,-,Sim,Não,Não,Não,Não,Não,-,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Não,Não,-,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,Sim,-
1100924,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não sabe,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1100940,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,2016,Não,-,Não,-,Não,-,Sim,Não,Não,Sim,Sim,Não,-,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1101005,Sim,2013,Sim,Não,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,-,Não,Sim,Sim,Sim,2013,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Sim,Não,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,Sim,2013,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Sim,Não,Sim,Sim,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,Sim,-
1101104,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Sim,Não,Sim,2014,Sim,Urbana e rural,Sim,Urbana,Não,-,Sim,Sim,Sim,Não,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,Sim,2014,Sim,Urbana e rural,Sim,Urbana e rural,Não,-,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,-,Sim
